real,predict
0.4338135490852519,0.43280008
0.4147274203932923,0.4110657
0.37480488476623663,0.36639786
0.3818837479613157,0.375607
0.4494327512717806,0.44958898
0.5254216770529173,0.5280958
0.5530250035395068,0.5518479
0.5311081843987231,0.5210748
0.5070880459400547,0.5106118
0.5158440088473943,0.5379367
0.5395582840179878,0.55142564
0.5347842187111681,0.53850955
0.4913690452784951,0.49171114
0.4506125727549149,0.44251367
0.4600209834388117,0.44985107
0.5183150913993672,0.5134721
0.5760359720242235,0.57827175
0.5909145922438814,0.59106773
0.5723009309418879,0.565033
0.5625300996615468,0.5607108
0.5789768865593888,0.5924617
0.5885122768282861,0.60761034
0.5484243733329981,0.5594675
0.4677679782544194,0.46807992
0.414706211193789,0.4058358
0.4540176280944218,0.44090462
0.5791186510849048,0.56248367
0.7130008735654475,0.70016724
0.7793975337624456,0.77119184
0.7700408371693547,0.7554265
0.7393754989475305,0.7268863
0.7373268209228762,0.7396552
0.7555778618190854,0.7674613
0.7436021810054841,0.7630675
0.6720693580779844,0.6885549
0.5713635611143817,0.58270705
0.5042209210753497,0.5111032
0.5051412638287414,0.5062369
0.552728382052436,0.55342823
0.6008195068002558,0.60118973
0.6290997381973341,0.62142366
0.6565242311766746,0.64515567
0.7066816097132336,0.6999879
0.7685062061568574,0.76861
0.7984974311927233,0.80642396
0.7624901109490699,0.778124
0.6719325179535132,0.6879126
0.5774297160776972,0.5930346
0.528152429050421,0.5348676
0.5377564315822244,0.53580725
0.5847689376089193,0.57810205
0.6381681220303492,0.62980986
0.6792591610157158,0.6739182
0.704269096236535,0.7053607
0.7155460819015802,0.7238337
0.7152717443166584,0.7262954
0.7043086110087347,0.7141159
0.6811332128980211,0.69064194
0.641547741467022,0.6542752
0.5854456766628913,0.60030997
0.5281818208435329,0.5388581
0.5008086252726492,0.5019023
0.5286711869683142,0.5207828
0.6035989303014329,0.593081
0.6813866802646141,0.67663175
0.7160058782407871,0.71902263
0.7001245900220571,0.7030971
0.6667181494893311,0.6731694
0.6444895248693253,0.6645229
0.6145137043176235,0.6425399
0.4784053156146179,0.55665743
